,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
6,LUT,WB,3,8.05,0.0,2.38,0.19,0.06,1.31,0.38,0.0,1.0,0.94,2.25,0.19,0.0,0.0,0.0,1.75,0.0,0.19,2.12,0.12,0.0,8.17,-1.19,0.38,1.0,10.94,294.5,322.5,-66.0,-37.0,-61.0,28.0
4,LUT,LB,3,5.92,0.0,0.86,0.0,0.38,1.38,0.05,0.0,1.14,0.57,1.71,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.76,0.0,0.0,6.82,-0.9,0.38,1.0,19.67,133.0,143.0,-10.0,-8.75,0.25,-9.0
5,LUT,RB,3,5.8,0.0,1.33,0.0,0.0,0.57,0.05,0.0,1.14,0.9,2.48,0.38,0.0,0.0,0.0,1.29,0.0,0.0,1.62,0.0,0.0,7.62,-1.25,0.38,1.0,15.06,134.5,189.0,-54.5,-12.75,-29.0,28.25
3,LUT,CB,6,5.15,0.07,0.23,0.07,0.11,1.23,0.14,0.0,0.0,1.13,3.44,0.77,0.0,0.0,0.03,1.89,0.0,0.14,1.11,0.03,0.0,6.81,-1.03,0.45,1.0,10.82,426.0,767.5,-477.5,145.5,-11.75,363.25
0,BUR,CB,4,3.4,0.0,0.21,0.03,0.1,0.93,0.15,0.0,0.06,1.38,3.85,0.97,0.0,0.0,0.0,2.43,0.0,0.03,1.19,0.0,0.0,7.0,-0.96,0.61,1.0,4.06,184.25,683.25,-520.0,148.75,3.0,425.75
10,SHU,WB,5,3.31,0.0,0.38,0.08,0.08,0.58,0.17,0.0,0.54,0.62,2.58,0.5,0.0,0.0,0.0,1.67,0.08,0.0,1.5,0.25,0.0,5.02,-1.46,0.42,1.0,2.83,111.0,249.0,-190.0,48.0,-8.0,120.0
7,SHU,CB,6,2.45,0.0,0.14,0.05,0.07,1.11,0.33,0.0,0.02,1.32,4.65,1.02,0.0,0.02,0.0,2.72,0.0,0.03,1.86,0.07,0.0,6.79,-1.25,0.53,1.0,5.16,134.75,817.75,-725.0,149.5,-30.5,580.0
1,BUR,LB,3,1.58,0.07,0.49,0.0,0.07,0.44,0.27,0.0,0.24,0.59,2.0,0.59,0.0,0.0,0.0,2.49,0.0,0.07,1.9,0.0,0.0,5.02,-1.13,0.54,1.0,4.6,1.0,202.5,-231.5,63.75,3.5,185.25
2,BUR,RB,3,0.38,0.0,0.31,0.09,0.0,0.53,0.18,0.09,0.09,0.71,2.4,0.36,0.0,0.0,0.0,2.27,0.0,0.09,1.64,0.0,0.0,3.96,-1.67,0.58,1.0,0.69,-70.0,163.0,-261.0,87.0,15.25,185.75
9,SHU,RB,1,-0.61,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.57,2.43,0.57,0.0,0.0,0.0,2.43,0.0,0.0,4.0,0.0,0.0,3.75,-1.5,0.57,1.0,5.75,-4.75,35.25,-40.0,0.5,-9.0,29.5
8,SHU,LB,1,-4.16,0.0,0.0,0.0,0.0,0.27,0.36,0.0,0.0,2.0,2.73,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.73,0.0,0.0,5.16,-1.32,0.73,1.0,0.84,-65.5,52.5,-118.0,19.75,4.25,103.5
