,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
9,CRY,RM,3,11.94,0.25,1.75,0.25,0.75,0.75,0.0,0.0,0.5,1.0,0.75,0.25,0.0,0.0,0.0,1.5,0.5,0.25,1.0,0.25,0.0,8.75,-1.31,0.5,1.0,23.69,111.0,81.0,-4.0,-15.5,-11.0,-6.5
13,EVE,RM,2,10.98,0.18,1.73,0.45,0.45,1.55,0.18,0.0,0.36,0.36,0.36,0.18,0.0,0.0,0.0,0.91,0.27,0.64,1.45,0.18,0.0,7.09,-1.2,0.55,1.0,12.84,132.5,88.0,-6.5,-11.75,-10.0,-6.75
19,NOT,AM,2,9.69,0.0,1.5,0.5,0.25,0.75,0.25,0.0,0.25,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.25,0.25,1.0,0.0,0.0,7.69,-1.75,0.25,1.0,29.75,85.0,67.0,-8.0,-7.5,-5.5,-6.0
5,CRY,AM,4,9.55,0.18,2.55,0.0,0.55,0.55,0.0,0.0,0.73,0.45,0.18,0.18,0.0,0.0,0.0,0.73,0.36,0.18,1.09,0.0,0.0,9.16,-1.61,0.45,1.0,16.95,129.0,119.5,-12.5,-24.0,-18.75,-5.25
4,BRF,RM,3,9.42,0.33,1.17,0.17,0.5,1.33,0.33,0.0,0.17,0.67,0.83,0.17,0.0,0.0,0.0,1.0,0.5,0.5,1.83,0.0,0.0,6.17,-1.42,0.67,1.0,25.54,114.0,73.0,-13.0,-1.0,1.0,-4.0
27,WOL,LM,3,9.34,0.0,1.45,0.36,0.36,0.82,0.09,0.18,0.91,1.82,0.64,0.18,0.0,0.0,0.0,2.0,0.0,0.36,1.91,0.64,0.0,9.61,-2.64,0.45,1.0,14.18,103.25,117.25,-38.0,-0.5,-11.5,9.0
28,WOL,RM,4,9.31,0.12,1.94,0.18,0.53,0.47,0.24,0.0,1.24,0.59,0.94,0.12,0.0,0.0,0.0,1.29,0.12,0.29,1.65,0.24,0.0,8.4,-1.38,0.41,1.0,20.32,186.5,178.5,-28.0,-28.25,-35.75,4.5
12,EVE,LM,4,9.13,0.12,1.82,0.12,1.0,0.53,0.0,0.0,0.76,0.41,0.18,0.24,0.0,0.0,0.0,1.18,0.29,0.24,0.47,0.47,0.0,8.04,-0.97,0.47,1.0,13.88,181.0,159.0,-11.0,-25.75,-22.25,-5.5
16,FUL,DM,3,8.92,0.17,0.17,0.0,0.5,3.17,0.0,0.0,0.0,1.17,0.83,0.67,0.0,0.0,0.0,1.67,0.0,0.17,1.17,0.0,0.0,8.67,-1.25,0.0,1.0,19.33,46.5,41.0,-3.5,7.0,11.0,-4.0
2,BRF,CM,3,8.34,0.12,1.15,0.12,0.33,1.55,0.21,0.0,0.24,1.03,1.36,0.24,0.0,0.06,0.0,1.09,0.33,0.18,1.88,0.06,0.0,7.54,-1.47,0.42,1.0,19.36,274.5,226.0,-22.5,0.75,22.75,-26.0
0,BOU,AM,2,7.84,0.0,1.47,0.21,0.32,0.95,0.0,0.0,0.42,0.95,1.79,0.32,0.0,0.0,0.0,2.05,0.11,0.21,1.11,0.0,0.0,7.74,-1.47,0.58,1.0,15.62,156.0,142.0,-12.0,-7.0,5.0,-16.0
26,WOL,DM,2,7.58,0.0,0.67,0.33,0.0,3.0,0.33,0.0,0.0,1.33,1.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,3.0,0.0,0.0,7.25,-2.0,0.67,1.0,17.33,45.0,39.0,-6.0,0.5,4.5,-6.0
7,CRY,DM,3,7.18,0.0,0.86,0.0,0.27,1.55,0.27,0.0,0.0,1.59,1.86,0.64,0.0,0.0,0.0,1.0,0.36,0.0,2.09,0.0,0.0,8.06,-1.24,0.45,1.0,11.31,162.0,176.0,-22.0,-4.0,1.25,-5.25
15,FUL,CM,3,7.09,0.12,0.25,0.0,0.12,1.75,0.25,0.0,0.0,1.25,1.38,0.12,0.0,0.0,0.0,1.62,0.38,0.12,2.0,0.12,0.0,7.28,-1.69,0.5,1.0,13.59,89.0,81.0,-16.0,24.5,35.5,-11.0
3,BRF,LM,2,6.96,0.0,1.33,0.17,0.33,1.17,0.17,0.0,0.5,0.67,1.17,0.0,0.0,0.0,0.0,0.67,0.33,0.17,1.33,0.17,0.0,6.38,-0.92,0.67,1.0,16.04,93.0,81.0,-4.0,-9.5,-4.5,-7.0
10,EVE,CM,4,6.88,0.05,0.89,0.0,0.36,1.52,0.0,0.0,0.11,0.8,1.0,0.05,0.0,0.0,0.0,1.55,0.14,0.05,1.39,0.09,0.0,7.42,-1.09,0.5,1.0,18.48,299.0,288.0,-13.0,3.5,38.5,-35.0
