,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
2,RW,43,9.37,0.3,1.37,0.17,0.78,0.82,0.14,0.0,0.39,0.52,0.39,0.03,0.01,0.02,0.0,1.13,0.29,0.43,1.43,0.32,0.05,6.91,-1.61,0.53,2.0,20.62,2742.5,1998.0,-258.5,-286.75,-187.0,-162.75
0,FW,53,8.32,0.36,0.93,0.15,0.99,0.34,0.12,0.01,0.04,0.2,0.62,0.1,0.0,0.02,0.0,1.3,0.27,0.47,1.35,0.48,0.04,5.71,-1.74,0.5,2.0,17.95,4119.5,2734.0,-467.5,-449.0,-216.25,-300.75
1,LW,50,7.99,0.15,1.31,0.23,0.58,0.63,0.16,0.0,0.23,0.41,0.42,0.04,0.0,0.02,0.0,1.17,0.26,0.31,1.52,0.27,0.0,6.37,-1.55,0.55,2.0,16.14,2341.0,1847.0,-245.0,-327.25,-240.75,-144.5
