"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*0639x*","Marcus Tavernier","BOU","M","63","4b. DcbB","BOU 3<br/>@SHU 1 F","37.5","37.5","34%","147.52","60%","+8.5%","1","81","2","3","0","5","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","18","deceptiv","BHA 3<br/>@NOT 2 F","35","35","100%","43.35","99%","+0.3%","1","90","1","4","1","1","1","0","0","0","3","1","2","3","0","4","0","0","0","3","0"
"*04fk1*","Pascal Gross","BHA","M","28","XXX","BHA 3<br/>@NOT 2 F","28.5","28.5","100%","36.27","100%","-0.2%","1","90","0","6","2","0","2","0","0","0","1","0","2","1","0","1","0","0","0","2","0"
"*04qfz*","Diogo Dalot","MUN","D","50","4b. DcbB","MUN 3<br/>@EVE 0 F","27.5","27.5","99%","79.86","96%","+0.2%","1","90","0","3","1","0","2","0","0","0","2","3","2","0","1","0","0","0","0","0","1"
"*05g2o*","Joao Pedro","BHA","F","65","Maddihat","BHA 3<br/>@NOT 2 F","27.5","27.5","99%","71.69","84%","-3.8%","1","68","2","0","0","2","2","3","0","0","0","0","4","1","0","4","0","1","0","1","0"
"*05u94*","Michael Olise","CRY","M","267","avitek","CRY 1<br/>@LUT 2 F","25.5","25.5","100%","56.27","94%","+2.8%","1","90","1","3","0","1","4","3","0","0","4","1","0","1","0","0","0","0","0","2","0"
"*037mo*","Willian","FUL","F","110","deceptiv","WOL 2<br/>@FUL 3 F","25.5","25.5","85%","107.67","68%","+1.1%","1","88","2","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0"
"*06fv8*","Mohammed Kudus","WHU","M","104","XXX","WHU 2<br/>@BUR 1 F","25","25","0%","-","75%","+0.8%","1","90","0","2","2","0","4","5","0","0","2","0","0","5","0","1","0","0","0","1","0"
"*06clt*","Justin Kluivert","BOU","M","193","W (Thu)","BOU 3<br/>@SHU 1 F","23.5","23.5","72%","128.61","24%","+2.5%","1","65","1","2","0","3","1","0","0","0","0","0","0","2","0","1","0","0","0","0","1"
"*06fup*","Jeremy Doku","MCI","F","14","Kish123","LIV 1<br/>@MCI 1 F","23","23","0%","1026.6","85%","+0.2%","1","90","0","4","0","0","3","2","0","0","1","0","1","12","0","0","0","0","0","1","0"
"*03vlm*","Anthony Martial","MUN","F","240","W (Thu)","MUN 3<br/>@EVE 0 F","20","20","17%","244.22","18%","+8.8%","1","83","1","0","1","1","0","2","0","0","0","0","1","1","0","2","0","1","0","0","1"
"*0574a*","Giovani Lo Celso","TOT","M","278","deceptiv","AVL 2<br/>@TOT 1 F","20","20","17%","225.63","18%","+9%","1","85","1","3","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","2","0"
"*04y92*","Bukayo Saka","ARS","M","3","Adam","ARS 1<br/>@BRF 0 F","19.5","19.5","100%","4.26","100%","0%","1","88","0","5","1","0","1","2","0","0","1","1","0","0","0","1","0","0","0","0","1"
"*04mdn*","Anthony Gordon","NEW","M","21","4b. DcbB","CHE 1<br/>@NEW 4 F","19.5","19.5","71%","128.43","96%","0%","1","88","1","1","1","1","0","3","0","0","1","1","0","0","0","0","0","0","0","1","0"
"*03ybi*","Marcus Rashford","MUN","F","57","Maddihat","MUN 3<br/>@EVE 0 F","19","19","100%","7.82","100%","0%","1","90","1","2","0","1","2","1","0","0","2","0","2","0","0","1","0","0","0","0","1"
"*038ze*","Alex Iwobi","FUL","M","144","Adam","WOL 2<br/>@FUL 3 F","18.5","18.5","94%","95.62","56%","-3.6%","1","90","1","0","0","3","1","1","0","0","1","1","1","1","0","0","0","0","0","2","0"
"*05afe*","Teden Mengi","LUT","D","226","W (Thu)","CRY 1<br/>@LUT 2 F","17.5","17.5","0%","1125.7","1%","+0.2%","1","90","1","0","0","1","2","0","0","0","0","1","10","0","1","1","0","0","0","1","0"
