"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*03srg*","Trent Alexander-Arnold","LIV","D","20","deceptiv","LIV 2<br/>@SHU 0 F","35.25","35.25","100%","7.78","100%","0%","1","90","0","7","1","0","1","0","0","0","2","2","1","1","0","2","0","0","0","0","1"
"*045c8*","Gabriel Jesus","ARS","F","113","Adam","ARS 4<br/>@LUT 3 F","32","32","100%","20.8","100%","0%","1","90","1","5","1","3","0","1","1","0","0","1","0","2","0","1","0","0","0","3","0"
"*04civ*","Scott McTominay","MUN","M","84","W (Fri)","CHE 1<br/>@MUN 2 F","30.5","30.5","4%","373.12","48%","-7.2%","1","90","2","0","0","5","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"*03vlj*","Virgil van Dijk","LIV","D","26","Adam","LIV 2<br/>@SHU 0 F","30","30","100%","43.74","100%","0%","1","90","1","0","0","2","2","0","0","0","0","2","4","0","1","4","0","0","0","0","1"
"*03jly*","Andreas Pereira","FUL","M","56","Pancake","NOT 0<br/>@FUL 5 F","29.5","29.5","98%","75.6","86%","+3.8%","1","90","0","4","3","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"*04p0d*","Dwight McNeil","EVE","M","59","deceptiv","NEW 0<br/>@EVE 3 F","29","29","96%","76.39","87%","+1.2%","1","90","1","4","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","0","1"
"*038ze*","Alex Iwobi","FUL","M","89","Adam","NOT 0<br/>@FUL 5 F","27.5","27.5","94%","95.62","65%","+4.5%","1","74","2","1","0","2","1","3","0","0","0","3","0","0","0","0","0","0","0","0","1"
"*04qrc*","Raul Jimenez","FUL","F","136","W (Fri)","NOT 0<br/>@FUL 5 F","27.5","27.5","64%","131.87","29%","+4.5%","1","78","2","0","0","3","1","1","0","0","0","0","1","1","0","4","0","0","0","0","1"
"*05u7f*","Ibrahima Konate","LIV","D","167","Pancake","LIV 2<br/>@SHU 0 F","26.5","26.5","94%","105.15","77%","+14.2%","1","90","0","0","0","1","2","2","1","0","0","4","2","0","1","14","0","0","0","0","1"
"*05o6h*","Kai Havertz","ARS","F","109","Kish123","ARS 4<br/>@LUT 3 F","24","24","100%","44.91","84%","+4.7%","1","90","1","4","0","1","0","2","0","0","0","1","0","2","0","6","0","0","0","3","0"
"*063e7*","Marcos Senesi","BOU","D","214","W (Fri)","BOU 2<br/>@CRY 0 F","23","23","3%","398.41","2%","-0.5%","1","90","1","1","0","1","0","1","1","0","1","2","2","0","1","1","0","0","0","0","1"
"*05r9b*","Martin Odegaard","ARS","M","29","avitek","ARS 4<br/>@LUT 3 F","21.5","21.5","100%","8.52","100%","0%","1","90","0","5","1","1","1","1","0","0","2","0","0","1","0","0","0","0","0","3","0"
"*06c6a*","Alfie Doughty","LUT","M","45","Vroom","ARS 4<br/>@LUT 3 F","21.5","21.5","48%","142.28","64%","-1.1%","1","87","0","2","2","0","2","1","0","0","0","2","2","1","1","0","0","0","0","3","0"
