"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*03fgo*","Dominic Solanke","BOU","F","13","4b. DcbB","BOU 3<br/>@NOT 2 F","38.5","38.5","88%","107.93","99%","+0.2%","1","90","3","1","0","3","0","3","0","0","0","0","3","0","2","6","0","0","0","2","0"
"*02m5b*","Chris Wood","NOT","F","64","XXX","BOU 3<br/>@NOT 2 F","31","31","1%","1127.93","17%","+5.3%","1","90","1","2","1","2","1","1","0","0","0","0","2","2","0","11","0","0","0","3","0"
"*061ya*","Brennan Johnson","TOT","F","108","deceptiv","EVE 1<br/>@TOT 2 F","27","27","92%","98.83","90%","+3.3%","1","90","0","5","2","1","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0"
"*06fhy*","Wilson Odobert","BUR","F","168","W (Fri)","BUR 2<br/>@FUL 0 F","23.5","23.5","0%","-","11%","+5.1%","1","79","1","2","1","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","1"
"*04fk1*","Pascal Gross","BHA","M","9","XXX","BHA 1<br/>@CRY 1 F","22.5","22.5","100%","36.28","100%","0%","1","90","0","6","1","1","0","1","0","0","2","0","1","1","0","0","0","0","0","1","0"
"*06fv8*","Mohammed Kudus","WHU","M","35","XXX","MUN 0<br/>@WHU 2 F","20.5","20.5","0%","-","82%","+0.6%","1","88","1","0","0","1","4","1","1","0","1","0","1","6","0","0","0","0","0","0","1"
"*04io3*","Mario Lemina","WOL","M","109","W (Fri)","CHE 1<br/>@WOL 2 F","20.5","20.5","0%","1184.06","33%","+6.8%","1","90","1","0","0","2","5","0","1","0","0","4","3","0","0","1","0","0","0","1","0"
"*03dx3*","Kieran Trippier","NEW","D","6","XXX","NEW 0<br/>@LUT 1 F","19.5","19.5","100%","11.56","100%","0%","1","90","0","5","0","0","3","0","0","0","4","1","2","1","1","1","0","0","0","1","0"
"*05u94*","Michael Olise","CRY","M","144","avitek","BHA 1<br/>@CRY 1 F","19.5","19.5","100%","56.26","98%","+0.5%","1","90","0","4","1","0","1","0","0","0","1","1","0","2","0","1","0","0","0","1","0"
"*063e7*","Marcos Senesi","BOU","D","116","Vroom","BOU 3<br/>@NOT 2 F","19","19","3%","398.43","56%","+8.2%","1","90","0","3","1","0","0","0","0","0","3","2","4","0","2","2","0","0","0","2","0"
"*02lp7*","Andros Townsend","LUT","M","182","4b. DcbB","NEW 0<br/>@LUT 1 F","18.5","18.5","0%","-","27%","+16.3%","1","80","1","1","0","2","0","1","0","0","1","0","0","2","0","0","0","0","0","0","1"
"*046c5*","Jarrod Bowen","WHU","M","10","dsb_ff","MUN 0<br/>@WHU 2 F","18","18","100%","32.5","100%","0%","1","86","1","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"*04spw*","James Garner","EVE","M","61","Pancake","EVE 1<br/>@TOT 2 F","17.5","17.5","5%","381.9","66%","+2.3%","1","90","0","3","0","2","2","0","0","0","0","4","0","1","0","1","0","0","0","2","0"
"*05gcs*","Sander Berge","BUR","M","128","W (Fri)","BUR 2<br/>@FUL 0 F","17.5","17.5","19%","216.5","9%","+0.5%","1","90","1","0","0","1","2","0","0","0","0","2","0","0","1","1","0","0","0","0","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","17","deceptiv","BOU 3<br/>@NOT 2 F","16.5","16.5","100%","43.34","98%","-0.2%","1","88","0","1","1","1","3","0","0","0","0","0","0","2","0","3","0","0","0","2","0"
"*03v9d*","Son Heung-Min","TOT","F","3","deceptiv","EVE 1<br/>@TOT 2 F","16","16","100%","11.7","100%","0%","1","90","1","1","0","1","1","2","0","0","0","0","0","3","0","0","0","0","0","1","0"
