"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*02lkp*","Raheem Sterling","CHE","F","21","4b. DcbB","CHE 4<br/>@BUR 1 F","32","32","100%","57.78","100%","+0.3%","1","82","1","1","2","2","1","0","0","0","0","0","0","2","0","0","0","1","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","6","Vroom","LIV 2<br/>@BHA 2 F","27","27","100%","2.86","100%","0%","1","90","2","1","0","2","1","2","0","0","0","0","0","2","1","0","0","0","0","2","0"
"*0646f*","Alexander Isak","NEW","F","22","avitek","NEW 2<br/>@WHU 2 F","26.5","26.5","100%","19.92","100%","+0.1%","1","85","2","0","0","2","0","0","0","0","0","0","0","4","0","1","0","0","0","1","0"
"*037mo*","Willian","FUL","F","98","XXX","SHU 1<br/>@FUL 3 F","26","26","85%","107.68","58%","+4.7%","1","90","1","3","0","3","0","1","0","0","0","1","0","3","0","3","0","0","0","1","0"
"*04spq*","Jack Harrison","EVE","M","186","4b. DcbB","BOU 0<br/>@EVE 3 F","23.5","23.5","0%","1101.56","38%","+8%","1","77","1","1","1","1","1","1","0","0","0","0","0","2","0","2","0","0","0","0","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","16","XXX","BOU 0<br/>@EVE 3 F","23","23","38%","145.49","91%","+0.5%","1","88","1","2","0","3","2","3","0","0","0","0","0","2","0","1","0","0","0","0","1"
"*06ezb*","Micky van de Ven","TOT","D","96","W (Thu)","TOT 1<br/>@LUT 0 F","22.25","22.25","17%","222.15","67%","+5.6%","1","90","1","0","0","1","2","0","0","0","0","0","1","0","1","1","0","0","0","0","1"
"*04civ*","Scott McTominay","MUN","M","162","W (Thu)","BRF 1<br/>@MUN 2 F","22","22","4%","373.14","2%","-0.4%","1","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0427d*","James Tarkowski","EVE","D","31","Adam","BOU 0<br/>@EVE 3 F","21","21","94%","94.54","93%","+0.3%","1","90","0","1","0","0","3","2","0","0","0","1","8","0","2","6","0","0","0","0","1"
"*05uoc*","Cristian Romero","TOT","D","28","Adam","TOT 1<br/>@LUT 0 F","21","21","51%","138.15","91%","+1.5%","1","90","0","1","0","0","2","0","0","0","0","3","12","0","0","5","0","0","0","0","1"
"*0626q*","Simon Adingra","BHA","F","71","deceptiv","LIV 2<br/>@BHA 2 F","21","21","9%","316","33%","-2.9%","1","90","1","0","0","2","3","0","0","0","0","2","0","3","0","0","0","0","0","2","0"
"*03dx3*","Kieran Trippier","NEW","D","1","deceptiv","NEW 2<br/>@WHU 2 F","20","20","100%","11.57","100%","0%","1","90","0","5","1","0","1","0","0","0","3","0","0","0","0","3","0","0","0","2","0"
"*05l8q*","Cole Palmer","CHE","M","133","Kish123","CHE 4<br/>@BUR 1 F","19.5","19.5","16%","247.87","58%","+12.6%","1","85","1","2","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*05tr9*","Mathias Jensen","BRF","M","14","Pancake","BRF 1<br/>@MUN 2 F","19","19","83%","116.69","97%","+0.1%","1","82","1","2","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1"
"*04p0d*","Dwight McNeil","EVE","M","141","deceptiv","BOU 0<br/>@EVE 3 F","18.5","18.5","96%","76.39","82%","+1.2%","1","90","0","6","0","1","1","3","0","0","1","0","0","2","1","0","0","0","0","0","1"
"*05w91*","Hwang Hee-Chan","WOL","F","49","W (Thu)","AVL 1<br/>@WOL 1 F","18.5","18.5","4%","383.23","51%","+22.8%","1","85","1","1","0","1","2","1","0","0","1","1","0","1","1","0","0","0","0","1","0"
"*04e1k*","Solly March","BHA","M","26","Maddihat","LIV 2<br/>@BHA 2 F","18","18","100%","34.19","100%","-0.1%","1","90","0","1","1","0","5","2","0","0","1","3","2","2","0","0","0","0","0","2","0"
"*06fhy*","Wilson Odobert","BUR","F","239","W (Thu)","CHE 4<br/>@BUR 1 F","18","18","0%","-","0%","+0.3%","1","78","1","1","0","2","2","0","1","0","0","0","0","3","0","0","0","0","0","4","0"
"*05akv*","Tyrick Mitchell","CRY","D","85","W (Thu)","NOT 0<br/>@CRY 0 F","17.75","17.75","4%","376.61","43%","+11.3%","1","90","0","2","0","0","3","1","0","0","2","1","1","1","0","1","0","0","0","0","1"
"*06cmm*","Dominik Szoboszlai","LIV","M","24","Kish123","LIV 2<br/>@BHA 2 F","17.5","17.5","100%","33.74","100%","0%","1","90","0","4","1","0","1","1","1","0","1","1","0","1","0","0","0","1","0","2","0"
"*06cm1*","Nicolas Jackson","CHE","F","87","Adam","CHE 4<br/>@BUR 1 F","17.5","17.5","99%","48.97","92%","-1.2%","1","45","1","1","0","1","0","0","0","0","0","1","1","2","1","1","0","0","0","0","0"
"*05os8*","Joachim Andersen","CRY","D","7","deceptiv","NOT 0<br/>@CRY 0 F","17.25","17.25","47%","142.48","94%","+1.9%","1","90","0","1","0","0","1","1","0","0","1","0","3","1","2","4","0","0","0","0","1"
"*04qr0*","Willy Boly","NOT","D","29","Pancake","NOT 0<br/>@CRY 0 F","17","17","0%","1157.45","74%","+1%","1","90","0","0","0","0","2","0","0","0","0","2","8","0","0","5","0","0","0","0","1"
