"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05g2o*","Joao Pedro","BHA","F","33","Maddihat","TOT 2<br/>@BHA 4 F","41.5","41.5","99%","71.69","96%","+1.9%","1","88","2","2","1","4","2","3","0","0","0","1","1","2","1","2","0","0","0","2","0"
"*02m5b*","Chris Wood","NOT","F","68","XXX","NOT 3<br/>@NEW 1 F","37","37","1%","1127.93","50%","+33.2%","1","90","3","0","0","3","0","0","0","0","0","0","4","2","1","2","0","0","0","1","0"
"*0646f*","Alexander Isak","NEW","F","55","avitek","NOT 3<br/>@NEW 1 F","31","31","100%","19.91","100%","+0.4%","1","90","1","3","0","5","0","0","0","0","0","0","0","4","0","0","0","1","0","3","0"
"*062cn*","Julian Alvarez","MCI","F","8","dsb_ff","MCI 3<br/>@EVE 1 F","28.5","28.5","100%","58.1","100%","0%","1","90","1","4","0","4","0","3","0","0","2","0","1","3","0","0","0","0","0","1","0"
"*05ogb*","Anthony Elanga","NOT","F","44","Kish123","NOT 3<br/>@NEW 1 F","26.5","26.5","42%","145.11","77%","+7.1%","1","88","0","3","2","2","1","1","0","0","1","2","2","1","0","0","0","0","0","1","0"
"*04ml6*","Konstantinos Mavropanos","WHU","D","282","FA","WHU 2<br/>@ARS 0 F","25.25","25.25","0%","-","5%","+3.7%","1","90","1","0","0","1","2","0","0","0","0","2","5","0","0","2","0","0","0","0","1"
"*060wh*","Alejandro Garnacho","MUN","M","117","Kish123","AVL 2<br/>@MUN 3 F","25","25","85%","112.18","87%","+6.5%","1","88","2","1","0","2","0","0","0","0","0","0","2","1","0","0","0","0","0","2","0"
"*05u94*","Michael Olise","CRY","M","100","avitek","CRY 1<br/>@CHE 2 F","24","24","100%","56.26","98%","+0.3%","1","90","1","2","0","3","0","2","0","0","0","0","2","6","0","0","0","0","0","2","0"
"*05w91*","Hwang Hee-Chan","WOL","F","27","dsb_ff","WOL 4<br/>@BRF 1 F","23.5","23.5","4%","383.56","82%","-0.3%","1","45","2","0","0","2","0","1","0","0","0","0","0","2","0","0","0","0","0","1","0"
"*04abb*","Phil Foden","MCI","M","12","XXX","MCI 3<br/>@EVE 1 F","23","23","100%","16.45","100%","0%","1","90","1","3","0","2","0","1","0","0","1","0","0","3","0","1","0","0","0","1","0"
"*04u6i*","Leander Dendoncker","AVL","M","330","FA","AVL 2<br/>@MUN 3 F","23","23","0%","1154.47","5%","+2%","1","85","1","0","1","1","3","0","0","0","0","2","0","0","0","2","0","0","0","3","0"
"*04fk6*","Bernardo Silva","MCI","M","30","Vroom","MCI 3<br/>@EVE 1 F","22.5","22.5","100%","58.46","100%","0%","1","90","1","2","1","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0"
"*067yv*","Cody Gakpo","LIV","F","146","Pancake","LIV 2<br/>@BUR 0 F","21.5","21.5","100%","26.86","89%","+1.4%","1","66","0","2","1","2","2","1","0","0","0","1","1","5","0","0","0","0","0","0","1"
"*03srg*","Trent Alexander-Arnold","LIV","D","9","deceptiv","LIV 2<br/>@BUR 0 F","21","21","100%","7.78","100%","0%","1","90","0","4","0","0","3","0","1","0","3","1","0","0","0","2","0","0","0","0","1"
"*0477b*","Oliver McBurnie","SHU","F","171","FA","LUT 3<br/>@SHU 2 F","19.5","19.5","19%","213.32","22%","-1.1%","1","90","1","1","0","1","0","1","0","0","0","0","3","0","0","14","0","0","0","3","0"
"*061x2*","Darwin Nunez","LIV","F","34","Pancake","LIV 2<br/>@BUR 0 F","18.5","18.5","100%","22.89","100%","0%","1","83","1","3","0","1","0","3","0","0","0","0","0","1","1","2","0","0","0","0","1"
"*06clz*","Malo Gusto","CHE","D","234","Pancake","CRY 1<br/>@CHE 2 F","18.25","18.25","10%","306.53","57%","+9.5%","1","90","0","2","1","0","3","1","0","0","0","3","3","1","1","1","0","0","0","1","0"
"*05y7i*","Jarell Quansah","LIV","D","320","Pancake","LIV 2<br/>@BUR 0 F","18","18","0%","1106.4","15%","-2.1%","1","90","0","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","1"
"*06clt*","Justin Kluivert","BOU","M","193","FA","FUL 0<br/>@BOU 3 F","17.5","17.5","72%","128.6","30%","+1.8%","1","72","1","3","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1"
