"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05uhj*","Conor Bradley","LIV","D","230","Pancake","CHE 1<br/>@LIV 4 F","44.5","44.5","2%","363.83","55%","+23%","1","67","1","4","2","1","2","1","0","0","2","0","0","1","0","0","0","0","0","0","1"
"*06c6c*","Elijah Adebayo","LUT","F","96","avitek","BHA 0<br/>@LUT 4 F","38","38","18%","227.9","45%","+15.1%","1","70","3","1","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1"
"*05nt6*","Eberechi Eze","CRY","M","24","Adam","SHU 2<br/>@CRY 3 F","32.5","32.5","100%","27.71","100%","0%","1","77","2","2","0","3","1","1","0","0","1","0","0","3","0","0","0","0","0","2","0"
"*05u94*","Michael Olise","CRY","M","44","avitek","SHU 2<br/>@CRY 3 F","30","30","100%","56.25","99%","+0.2%","1","68","1","2","2","1","0","6","0","0","2","1","1","3","0","0","0","0","0","2","0"
"*04tig*","Fabian Schar","NEW","D","97","Maddihat","NEW 3<br/>@AVL 1 F","29.75","29.75","99%","69.31","93%","+6.9%","1","90","2","0","0","2","0","0","0","0","0","1","7","0","3","2","0","0","0","1","0"
"*056iy*","Pedro Neto","WOL","F","40","Kish123","MUN 4<br/>@WOL 3 F","27.5","27.5","55%","135.97","96%","0%","1","90","1","2","1","1","1","1","0","0","3","0","0","1","0","0","0","1","0","4","0"
"*045c8*","Gabriel Jesus","ARS","F","62","XXX","ARS 2<br/>@NOT 1 F","25","25","100%","20.76","100%","+0.1%","1","77","1","2","1","2","0","2","1","0","1","0","0","3","0","2","0","0","0","0","1"
"*03v6w*","Ivan Toney","BRF","F","298","XXX","BRF 2<br/>@TOT 3 F","25","25","62%","132.18","95%","+0.2%","1","90","1","0","1","3","1","1","0","0","0","0","0","1","0","5","0","0","0","3","0"
"*05yld*","Luis Diaz","LIV","F","65","Adam","CHE 1<br/>@LIV 4 F","24.5","24.5","100%","25.28","99%","+0.2%","1","90","1","2","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*02oq8*","James Ward-Prowse","WHU","M","6","Pancake","BOU 1<br/>@WHU 1 F","24.5","24.5","2%","291.97","85%","0%","1","90","1","4","0","1","0","1","0","0","3","1","1","2","0","0","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","2","Adam","ARS 2<br/>@NOT 1 F","22.5","22.5","100%","4.26","100%","0%","1","90","1","4","0","1","2","1","0","0","0","2","0","0","0","0","0","0","0","1","0"
"*06exb*","Rasmus Hojlund","MUN","F","166","Maddihat","MUN 4<br/>@WOL 3 F","22.5","22.5","74%","60.83","80%","+1.2%","1","85","1","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0"
