"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*03dx3*","Kieran Trippier","NEW","D","687","XXX","MUN 0<br/>@NEW 1 F","34.5","34.5","100%","11.57","100%","0%","1","1","90","0","0.0","1","1","2","0","2","1","0","0","2","0","0","1"
"*03dx7*","Ben Mee","BRF","D","457","avitek","LUT 1<br/>@BRF 3 F","28","28","99%","81.6","69%","+19.7%","1","1","90","1","1.0","0","1","3","1","1","0","0","0","1","0","0","0"
"*04y92*","Bukayo Saka","ARS","M","601","Adam","WOL 1<br/>@ARS 2 F","26.5","26.5","100%","4.26","100%","0%","1","1","88","1","1.0","0","1","3","2","1","2","0","0","1","1","0","0"
"*06dn2*","Zeki Amdouni","BUR","F","28","W (Mon)","SHU 0<br/>@BUR 5 F","25.5","25.5","8%","324.93","15%","+2.4%","1","1","76","1","1.0","1","2","2","2","0","3","0","0","0","0","0","1"
"*068ym*","Enzo Fernandez","CHE","M","230","avitek","BHA 2<br/>@CHE 3 F","24.5","24.5","99%","73.22","89%","-0.3%","1","1","90","2","2.0","0","2","3","3","1","2","1","0","4","0","1","0"
"*05r9b*","Martin Odegaard","ARS","M","510","avitek","WOL 1<br/>@ARS 2 F","24","24","100%","8.52","100%","0%","1","1","88","1","1.0","0","1","1","1","2","0","0","0","2","0","0","0"
"*05ocl*","Ollie Watkins","AVL","F","711","4b. DcbB","AVL 2<br/>@BOU 2 F","24","24","100%","19.8","100%","-0.1%","1","1","90","1","1.0","1","2","2","1","1","1","0","0","1","0","0","0"
"*06fv8*","Mohammed Kudus","WHU","M","385","XXX","CRY 1<br/>@WHU 1 F","23","23","0%","-","77%","+2.1%","1","1","90","1","1.0","0","1","4","1","1","3","0","0","1","0","0","0"
"*061ve*","Ryan Christie","BOU","M","141","W (Mon)","AVL 2<br/>@BOU 2 F","23","23","8%","336.41","36%","-3.2%","1","1","90","0","0.0","1","1","3","1","1","1","1","0","4","0","0","0"
"*03rzp*","Antonee Robinson","FUL","D","590","deceptiv","FUL 3<br/>@LIV 4 F","22","22","83%","116.11","66%","-0.8%","1","1","90","0","0.0","1","1","2","1","1","1","0","0","1","0","0","0"
"*062cn*","Julian Alvarez","MCI","F","24","dsb_ff","TOT 3<br/>@MCI 3 F","21.5","21.5","100%","58.1","100%","0%","1","1","86","0","0.0","1","1","1","0","1","0","0","0","1","0","0","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","19","deceptiv","FUL 3<br/>@LIV 4 F","21.25","21.25","100%","7.78","100%","0%","1","1","90","1","1.0","0","1","4","1","0","0","0","0","0","0","0","0"
"*04mdn*","Anthony Gordon","NEW","M","273","4b. DcbB","MUN 0<br/>@NEW 1 F","21","21","71%","128.43","96%","+0.1%","1","1","88","1","1.0","0","1","3","2","0","3","0","0","0","0","0","1"
"*04gpx*","Dara O'Shea","BUR","D","508","W (Mon)","SHU 0<br/>@BUR 5 F","20.75","20.75","1%","1148.64","12%","+6.7%","1","1","82","0","0.0","1","1","1","0","2","2","1","0","5","0","0","1"
"*05ylx*","Dejan Kulusevski","TOT","M","386","Vroom","TOT 3<br/>@MCI 3 F","20.5","20.5","100%","44.11","100%","-0.1%","1","1","90","1","1.0","1","2","1","1","3","1","1","0","6","1","0","0"
"*0427d*","James Tarkowski","EVE","D","660","Adam","EVE 1<br/>@NOT 0 F","19.75","19.75","94%","94.55","96%","+0.1%","1","1","90","0","0.0","0","0","1","0","0","1","0","0","0","0","0","1"
"*0554i*","Joelinton","NEW","M","39","4b. DcbB","MUN 0<br/>@NEW 1 F","19.5","19.5","100%","65.59","92%","+2.5%","1","1","90","0","0.0","0","0","1","1","0","5","1","0","3","0","0","1"
"*056mf*","Neal Maupay","BRF","F","440","XXX","LUT 1<br/>@BRF 3 F","19.5","19.5","1%","1151.52","25%","+12.9%","1","1","88","1","1.0","0","1","4","2","2","3","0","0","2","0","0","0"
"*04fyc*","Charlie Taylor","BUR","D","664","W (Mon)","SHU 0<br/>@BUR 5 F","19.25","19.25","1%","1117.26","4%","+2.7%","1","1","90","0","0.0","1","1","0","0","0","0","0","0","0","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","602","Vroom","FUL 3<br/>@LIV 4 F","19","19","100%","2.86","100%","0%","1","1","90","0","0.0","1","1","2","1","0","0","0","0","0","0","0","0"
"*03v9d*","Son Heung-Min","TOT","F","644","deceptiv","TOT 3<br/>@MCI 3 F","18.5","18.5","100%","11.7","100%","0%","1","1","90","1","1.0","1","2","1","1","0","0","0","0","0","0","0","0"
"*05w9r*","Takehiro Tomiyasu","ARS","D","673","dsb_ff","WOL 1<br/>@ARS 2 F","18.5","18.5","3%","376.98","49%","+19.4%","1","1","78","0","0.0","1","1","0","0","2","0","0","0","2","0","0","0"
"*05gcx*","Josh Brownhill","BUR","M","103","deceptiv","SHU 0<br/>@BUR 5 F","18","18","85%","111.15","60%","+4.8%","1","1","90","1","1.0","0","1","2","2","0","2","0","0","0","0","0","1"
"*06dwm*","Jacob Bruun Larsen","BUR","F","104","W (Mon)","SHU 0<br/>@BUR 5 F","18","18","0%","1139.13","1%","+0.8%","1","1","64","1","1.0","0","1","4","1","2","1","0","0","2","0","0","1"
"*05trd*","Shandon Baptiste","BRF","M","60","W (Mon)","LUT 1<br/>@BRF 3 F","17","17","0%","1106.62","0%","0%","1","0","19","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*061vq*","Erling Haaland","MCI","F","293","dsb_ff","TOT 3<br/>@MCI 3 F","16","16","100%","1.12","100%","0%","1","1","90","0","0.0","1","1","5","0","1","2","1","0","4","0","0","0"
"*03fgo*","Dominic Solanke","BOU","F","642","4b. DcbB","AVL 2<br/>@BOU 2 F","16","16","88%","107.93","97%","-0.6%","1","1","90","1","1.0","0","1","4","3","3","1","0","0","3","0","0","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","690","Adam","FUL 3<br/>@LIV 4 F","16","16","9%","316.79","75%","+3.7%","1","1","90","0","0.0","1","1","0","0","0","1","0","0","0","0","0","0"
"*06clx*","Jordan Beyer","BUR","D","81","W (Mon)","SHU 0<br/>@BUR 5 F","16","16","19%","208.79","7%","+0.6%","1","1","90","0","0.0","1","1","1","0","1","0","1","0","4","0","0","1"
"*03pig*","Jamaal Lascelles","NEW","D","391","Adam","MUN 0<br/>@NEW 1 F","15.5","15.5","0%","1141.2","47%","+6.7%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","1"
