"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*061vq*","Erling Haaland","MCI","F","9","dsb_ff","MCI 3<br/>@MUN 0 F","34","34","100%","1.12","100%","0%","1","1","90","2","2.0","1","3","5","4","0","2","0","0","0","0","1","1"
"*04ge9*","Eddie Nketiah","ARS","F","32","Adam","SHU 0<br/>@ARS 5 F","34","34","50%","138.05","85%","+4.8%","1","1","90","3","3.0","0","3","4","3","2","3","0","0","2","1","0","1"
"*06cmm*","Dominik Szoboszlai","LIV","M","27","Kish123","NOT 0<br/>@LIV 3 F","28.5","28.5","100%","33.73","100%","0%","1","1","90","0","0.0","2","2","1","1","0","1","0","0","0","0","0","1"
"*05tr1*","Ethan Pinnock","BRF","D","18","4b. DcbB","BRF 2<br/>@CHE 0 F","28.5","28.5","99%","71.39","97%","-0.3%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","1"
"*05trb*","Bryan Mbeumo","BRF","F","8","XXX","BRF 2<br/>@CHE 0 F","25.5","25.5","100%","40.27","100%","0%","1","1","90","1","1.0","1","2","4","2","1","0","0","0","1","0","0","1"
"*03r8x*","Callum Wilson","NEW","F","38","dsb_ff","NEW 2<br/>@WOL 2 F","24","24","100%","49.17","98%","+1.2%","1","1","90","2","2.0","0","2","4","3","2","1","0","0","2","0","1","0"
"*062dt*","Joao Palhinha","FUL","M","171","W (Thu)","FUL 1<br/>@BHA 1 F","23.5","23.5","29%","144.84","46%","+2%","1","1","90","1","1.0","0","1","1","1","1","4","0","0","1","0","0","0"
"*061x2*","Darwin Nunez","LIV","F","59","Pancake","NOT 0<br/>@LIV 3 F","22.5","22.5","100%","22.9","100%","+0.1%","1","1","79","1","1.0","0","1","5","3","2","0","0","0","2","0","0","1"
"*06dq8*","Moussa Diaby","AVL","F","31","Vroom","LUT 1<br/>@AVL 3 F","20.5","20.5","98%","49.16","97%","0%","1","1","88","1","1.0","0","1","2","1","3","0","0","0","3","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","69","Adam","NOT 0<br/>@LIV 3 F","20","20","100%","43.73","100%","+0.1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*068y0*","Antoine Semenyo","BOU","F","129","W (Thu)","BUR 1<br/>@BOU 2 F","20","20","0%","1069.16","12%","+1.3%","1","1","68","1","1.0","0","1","2","1","0","0","0","0","0","0","0","0"
"*04fk6*","Bernardo Silva","MCI","M","170","Vroom","MCI 3<br/>@MUN 0 F","18.5","18.5","100%","58.44","98%","-0.5%","1","1","90","0","0.0","1","1","1","1","0","1","0","0","0","0","0","1"
"*02lp9*","Kyle Walker","MCI","D","111","Kish123","MCI 3<br/>@MUN 0 F","18.25","18.25","73%","119.33","94%","-1.1%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*04io3*","Mario Lemina","WOL","M","116","W (Thu)","NEW 2<br/>@WOL 2 F","17.5","17.5","0%","1184.06","8%","+0.1%","1","1","85","1","1.0","0","1","1","1","1","1","0","0","1","0","0","0"
"*0524k*","Rodri","MCI","M","90","Vroom","MCI 3<br/>@MUN 0 F","16.5","16.5","99%","54.38","99%","-0.1%","1","1","90","0","0.0","0","0","2","1","0","2","0","0","0","0","0","1"
"*04spp*","Douglas Luiz","AVL","M","29","Maddihat","LUT 1<br/>@AVL 3 F","16.5","16.5","97%","92.32","99%","+1.2%","1","1","88","0","0.0","1","1","0","0","1","0","0","0","1","0","0","0"
"*04qr8*","Diogo Jota","LIV","F","108","Adam","NOT 0<br/>@LIV 3 F","16.5","16.5","100%","52.5","97%","+0.3%","1","1","57","1","1.0","0","1","3","2","0","1","0","0","0","0","0","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","150","XXX","EVE 1<br/>@WHU 0 F","16.5","16.5","82%","115.08","81%","-0.5%","1","1","88","1","1.0","0","1","2","1","0","1","0","0","0","3","0","1"
"*05w91*","Hwang Hee-Chan","WOL","F","23","dsb_ff","NEW 2<br/>@WOL 2 F","16.5","16.5","4%","383.49","77%","+2.6%","1","1","90","1","1.0","0","1","1","1","4","1","0","0","4","1","0","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","174","avitek","EVE 1<br/>@WHU 0 F","16.5","16.5","4%","386.04","29%","+7%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*04gpx*","Dara O'Shea","BUR","D","252","W (Thu)","BUR 1<br/>@BOU 2 F","16.5","16.5","1%","1149.04","2%","+0.7%","1","1","90","0","0.0","1","1","0","0","1","1","0","0","1","0","0","0"
"*04abb*","Phil Foden","MCI","M","19","XXX","MCI 3<br/>@MUN 0 F","16","16","100%","16.45","100%","0%","1","1","90","1","1.0","0","1","4","2","1","1","1","0","4","0","0","1"
"*05uel*","Kristoffer Ajer","BRF","D","126","W (Thu)","BRF 2<br/>@CHE 0 F","16","16","0%","1146.93","5%","-0.3%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"*04f67*","Philip Billing","BOU","M","48","Pancake","BUR 1<br/>@BOU 2 F","15.5","15.5","75%","128.34","77%","+7.6%","1","1","81","1","1.0","0","1","2","1","2","0","1","0","5","0","0","0"
"*05u1m*","Nathan Collins","BRF","D","66","W (Thu)","BRF 2<br/>@CHE 0 F","15.25","15.25","5%","349.1","44%","-0.8%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","1"
"*04p0d*","Dwight McNeil","EVE","M","145","deceptiv","EVE 1<br/>@WHU 0 F","15","15","96%","76.4","84%","+0.5%","1","1","90","0","0.0","0","0","2","1","0","0","0","0","0","0","0","1"
"*03sgc*","Jordan Ayew","CRY","F","52","W (Thu)","TOT 2<br/>@CRY 1 F","15","15","58%","131.25","68%","-1.5%","1","1","90","1","1.0","0","1","2","2","5","3","1","0","8","0","0","0"
"*05yct*","Nathan Patterson","EVE","D","273","W (Thu)","EVE 1<br/>@WHU 0 F","15","15","3%","379.72","3%","+0.2%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","1"
"*051k0*","John McGinn","AVL","M","71","Kish123","LUT 1<br/>@AVL 3 F","14.5","14.5","64%","130.58","85%","+6.8%","1","1","90","1","1.0","0","1","3","2","0","2","0","0","0","0","0","0"
"*067yz*","Matheus Cunha","WOL","F","33","Maddihat","NEW 2<br/>@WOL 2 F","14.5","14.5","34%","147.16","70%","+5.4%","1","1","90","0","0.0","0","0","4","3","1","2","0","0","1","0","0","0"
"*05l27*","Jarrad Branthwaite","EVE","D","154","W (Thu)","EVE 1<br/>@WHU 0 F","14.5","14.5","1%","1123.11","17%","+6.6%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","1"
"*06ex4*","Josko Gvardiol","MCI","D","148","avitek","MCI 3<br/>@MUN 0 F","14.25","14.25","79%","73.7","83%","+0.1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*05w9r*","Takehiro Tomiyasu","ARS","D","255","W (Thu)","SHU 0<br/>@ARS 5 F","14.25","14.25","3%","376.99","6%","+2.5%","1","0","23","1","1.0","0","1","2","1","0","0","0","0","0","0","0","0"
"*03v9d*","Son Heung-Min","TOT","F","6","deceptiv","TOT 2<br/>@CRY 1 F","14","14","100%","11.7","100%","0%","1","1","90","1","1.0","0","1","2","1","2","0","0","0","2","1","0","0"
"*04fk1*","Pascal Gross","BHA","M","50","deceptiv","FUL 1<br/>@BHA 1 F","14","14","100%","36.27","100%","0%","1","1","90","0","0.0","1","1","1","0","3","2","0","0","3","0","0","0"
"*056iy*","Pedro Neto","WOL","F","7","Kish123","NEW 2<br/>@WOL 2 F","14","14","55%","135.97","97%","+0.1%","1","1","76","0","0.0","1","1","2","1","0","3","0","0","0","0","0","0"
"*03aqp*","Mohamed Salah","LIV","F","3","Vroom","NOT 0<br/>@LIV 3 F","13","13","100%","2.86","100%","0%","1","1","90","1","1.0","0","1","3","1","0","2","0","0","0","0","0","1"
"*052h5*","Gabriel Martinelli","ARS","M","63","4b. DcbB","SHU 0<br/>@ARS 5 F","13","13","100%","12.84","100%","0%","1","1","65","0","0.0","0","0","1","1","0","2","0","0","0","0","0","1"
"*04tig*","Fabian Schar","NEW","D","78","Maddihat","NEW 2<br/>@WOL 2 F","13","13","99%","69.33","96%","+1.4%","1","1","90","0","0.0","0","0","2","0","0","1","0","0","0","0","0","0"
"*04sat*","Emile Smith Rowe","ARS","M","271","Adam","SHU 0<br/>@ARS 5 F","13","13","19%","216.03","36%","+27.8%","1","1","72","0","0.0","1","1","1","1","1","0","0","0","1","0","0","1"
"*061z3*","Fabio Vieira","ARS","M","140","W (Thu)","SHU 0<br/>@ARS 5 F","13","13","3%","377.21","20%","-4.8%","1","0","16","1","1.0","0","1","1","1","0","1","0","0","0","0","1","0"
"*02yl5*","John Stones","MCI","D","728","4b. DcbB","MCI 3<br/>@MUN 0 F","12.5","12.5","100%","57.7","87%","-0.9%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*0554i*","Joelinton","NEW","M","169","4b. DcbB","NEW 2<br/>@WOL 2 F","12.5","12.5","100%","65.6","82%","-0.3%","1","1","90","0","0.0","0","0","1","1","1","1","0","0","1","0","0","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","321","Adam","NOT 0<br/>@LIV 3 F","12.5","12.5","9%","316.79","70%","+6%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*0414o*","James Maddison","TOT","M","1","Maddihat","TOT 2<br/>@CRY 1 F","12","12","100%","15.79","100%","0%","1","1","88","0","0.0","0","0","2","0","1","2","0","0","1","1","0","0"
"*05yg5*","Toti","WOL","D","286","W (Thu)","NEW 2<br/>@WOL 2 F","12","12","0%","1227.2","1%","-0.3%","1","1","90","0","0.0","1","1","0","0","1","0","0","0","1","0","0","0"
"*05omu*","Ruben Dias","MCI","D","230","W (Thu)","MCI 3<br/>@MUN 0 F","11.75","11.75","98%","68.96","88%","-0.1%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","1"
