"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*061vq*","Erling Haaland","MCI","F","1","dsb_ff","MCI 4<br/>@CHE 4 F","38.5","38.5","100%","1.12","100%","0%","1","1","90","2","2.0","1","3","4","3","2","2","0","0","2","0","1","0"
"*03fgo*","Dominic Solanke","BOU","F","31","4b. DcbB","NEW 0<br/>@BOU 2 F","32.5","32.5","88%","107.93","93%","-0.8%","1","1","90","2","2.0","0","2","4","2","2","0","0","0","2","0","0","1"
"*05n3v*","Konstantinos Tsimikas","LIV","D","147","Adam","BRF 0<br/>@LIV 3 F","30.75","30.75","9%","316.79","62%","+1%","1","1","90","0","0.0","2","2","1","0","1","1","0","0","1","0","0","1"
"*02oq8*","James Ward-Prowse","WHU","M","12","Pancake","NOT 2<br/>@WHU 3 F","25.5","25.5","2%","292.09","85%","-0.1%","1","1","90","0","0.0","2","2","3","0","1","2","0","0","1","0","0","0"
"*043c1*","Oleksandr Zinchenko","ARS","D","92","Kish123","BUR 1<br/>@ARS 3 F","25.25","25.25","99%","76.57","97%","+3.3%","1","1","90","1","1.0","0","1","1","1","1","1","0","0","1","0","0","0"
"*04fk8*","Victor Lindelof","MUN","D","184","W (Thu)","LUT 0<br/>@MUN 1 F","24.75","24.75","1%","1111.92","14%","+7.9%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","2","Vroom","BRF 0<br/>@LIV 3 F","23.5","23.5","100%","2.86","100%","0%","1","1","90","2","2.0","0","2","3","2","0","1","0","0","0","0","0","1"
"*0520r*","Leandro Trossard","ARS","M","114","Kish123","BUR 1<br/>@ARS 3 F","23.5","23.5","100%","57.06","93%","+7.1%","1","1","80","1","1.0","1","2","3","2","0","2","0","0","0","0","0","0"
"*051k8*","Conor Gallagher","CHE","M","20","Maddihat","MCI 4<br/>@CHE 4 F","23","23","59%","137.82","93%","+1.5%","1","1","90","0","0.0","1","1","3","2","5","2","0","0","5","0","0","0"
"*04tzt*","Jefferson Lerma","CRY","M","112","Adam","EVE 3<br/>@CRY 2 F","23","23","13%","287.95","39%","-5.8%","1","1","90","0","0.0","1","1","2","0","0","4","0","0","0","0","0","0"
"*051k0*","John McGinn","AVL","M","33","Kish123","FUL 1<br/>@AVL 3 F","21.5","21.5","64%","130.58","89%","+0.5%","1","1","90","1","1.0","0","1","1","1","1","7","0","0","1","0","0","0"
"*05nt6*","Eberechi Eze","CRY","M","21","XXX","EVE 3<br/>@CRY 2 F","20.5","20.5","100%","27.73","100%","+0.6%","1","1","90","1","1.0","0","1","2","2","3","4","1","0","6","0","1","0"
"*068a7*","Pablo Sarabia","WOL","M","177","W (Thu)","TOT 1<br/>@WOL 2 F","20.5","20.5","8%","332.79","7%","-0.7%","1","0","2","1","1.0","1","2","1","1","0","0","0","0","0","0","0","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","64","avitek","EVE 3<br/>@CRY 2 F","20.25","20.25","4%","386.04","69%","+20.7%","1","1","90","1","1.0","0","1","3","1","3","0","1","0","6","0","0","0"
"*05gcp*","Tomas Soucek","WHU","M","55","dsb_ff","NOT 2<br/>@WHU 3 F","19.5","19.5","59%","136.65","85%","-2.8%","1","1","90","1","1.0","0","1","4","3","0","0","0","0","0","0","0","0"
"*04io3*","Mario Lemina","WOL","M","96","W (Thu)","TOT 1<br/>@WOL 2 F","19.5","19.5","0%","1184.06","15%","-4.2%","1","1","90","1","1.0","0","1","3","2","1","2","0","0","1","0","0","0"
"*0647t*","Lucas Paqueta","WHU","M","52","deceptiv","NOT 2<br/>@WHU 3 F","19","19","100%","51.96","99%","+0.6%","1","1","88","1","1.0","0","1","2","2","1","1","0","0","1","0","0","0"
"*061x2*","Darwin Nunez","LIV","F","25","Pancake","BRF 0<br/>@LIV 3 F","18.5","18.5","100%","22.9","100%","0%","1","1","90","0","0.0","1","1","3","3","0","1","0","0","0","2","0","1"
"*0524k*","Rodri","MCI","M","34","Vroom","MCI 4<br/>@CHE 4 F","18.5","18.5","99%","54.38","100%","+0.1%","1","1","90","1","1.0","0","1","1","1","3","2","1","0","6","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","32","Adam","BRF 0<br/>@LIV 3 F","18","18","100%","43.73","100%","0%","1","1","90","0","0.0","0","0","1","1","1","1","0","0","1","0","0","1"
"*04qr8*","Diogo Jota","LIV","F","56","Adam","BRF 0<br/>@LIV 3 F","18","18","100%","52.5","98%","-0.2%","1","1","83","1","1.0","0","1","3","1","1","3","0","0","1","0","0","1"
"*0626q*","Simon Adingra","BHA","F","66","deceptiv","SHU 1<br/>@BHA 1 F","17.5","17.5","9%","316","65%","+0.8%","1","1","90","1","1.0","0","1","1","1","2","3","1","0","5","0","0","0"
"*04qrc*","Raul Jimenez","FUL","F","206","W (Thu)","FUL 1<br/>@AVL 3 F","17.5","17.5","64%","131.86","24%","-0.8%","1","1","73","1","1.0","0","1","3","3","3","0","0","0","3","0","0","0"
"*04y92*","Bukayo Saka","ARS","M","3","Adam","BUR 1<br/>@ARS 3 F","16.5","16.5","100%","4.26","100%","0%","1","1","80","0","0.0","1","1","3","1","2","1","0","0","2","0","0","0"
"*02lkp*","Raheem Sterling","CHE","F","18","4b. DcbB","MCI 4<br/>@CHE 4 F","16","16","100%","57.77","100%","0%","1","1","90","1","1.0","0","1","2","1","3","3","1","0","6","1","0","0"
"*03yu2*","Abdoulaye Doucoure","EVE","M","19","XXX","EVE 3<br/>@CRY 2 F","16","16","38%","145.49","93%","-0.4%","1","1","90","1","1.0","0","1","1","1","3","0","1","0","6","0","0","0"
"*061ve*","Ryan Christie","BOU","M","85","W (Thu)","NEW 0<br/>@BOU 2 F","16","16","8%","336.41","22%","-0.5%","1","1","90","0","0.0","0","0","2","2","1","0","0","0","1","0","0","1"
"*03rxa*","Idrissa Gueye","EVE","M","199","W (Thu)","EVE 3<br/>@CRY 2 F","16","16","4%","385.43","4%","-0.6%","1","0","45","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*0558w*","William Saliba","ARS","D","97","deceptiv","BUR 1<br/>@ARS 3 F","15.75","15.75","99%","65.12","98%","+0.6%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*046c5*","Jarrod Bowen","WHU","M","9","dsb_ff","NOT 2<br/>@WHU 3 F","15.5","15.5","100%","32.51","100%","0%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*04abb*","Phil Foden","MCI","M","14","XXX","MCI 4<br/>@CHE 4 F","15.5","15.5","100%","16.45","100%","0%","1","1","90","0","0.0","0","0","3","2","0","2","0","0","0","0","0","0"
"*03gu4*","Harry Maguire","MUN","D","169","avitek","LUT 0<br/>@MUN 1 F","14.75","14.75","27%","140.92","49%","+27.3%","1","1","90","0","0.0","0","0","0","0","3","1","0","0","3","0","0","1"
"*05l8q*","Cole Palmer","CHE","M","47","Kish123","MCI 4<br/>@CHE 4 F","14.5","14.5","16%","248.11","83%","+2.4%","1","1","90","1","1.0","0","1","3","2","0","1","1","0","3","0","1","0"
"*067yz*","Matheus Cunha","WOL","F","35","Maddihat","TOT 1<br/>@WOL 2 F","14.5","14.5","34%","147.16","80%","-1.6%","1","1","90","0","0.0","1","1","3","0","2","1","0","0","2","1","0","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","73","deceptiv","BRF 0<br/>@LIV 3 F","14.25","14.25","100%","7.78","100%","0%","1","1","88","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*05w9q*","Odsonne Edouard","CRY","F","45","Adam","EVE 3<br/>@CRY 2 F","14","14","18%","223.09","81%","-1%","1","1","82","1","1.0","0","1","6","2","1","0","0","0","1","2","0","0"
"*05gcx*","Josh Brownhill","BUR","M","99","W (Thu)","BUR 1<br/>@ARS 3 F","14","14","85%","111.16","41%","+0.8%","1","1","84","1","1.0","0","1","1","1","2","1","0","0","2","0","0","0"
"*05ohc*","Sergio Reguilon","MUN","D","308","Kish123","LUT 0<br/>@MUN 1 F","14","14","8%","313.72","33%","+11.1%","1","1","78","0","0.0","0","0","1","0","2","2","0","0","2","1","0","1"
"*05n07*","Pedro Porro","TOT","D","40","dsb_ff","TOT 1<br/>@WOL 2 F","13.75","13.75","100%","52.16","100%","0%","1","1","90","0","0.0","1","1","0","0","2","2","0","0","2","0","0","0"
"*04rzl*","Taiwo Awoniyi","NOT","F","77","avitek","NOT 2<br/>@WHU 3 F","13.5","13.5","51%","137.91","87%","+0.9%","1","1","75","1","1.0","0","1","3","2","1","1","0","0","1","0","0","0"
"*052h5*","Gabriel Martinelli","ARS","M","46","4b. DcbB","BUR 1<br/>@ARS 3 F","13","13","100%","12.84","100%","0%","1","1","88","0","0.0","0","0","1","1","1","1","0","0","1","1","0","0"
"*05uns*","Leon Bailey","AVL","F","80","Kish123","FUL 1<br/>@AVL 3 F","13","13","43%","143.89","62%","-3.2%","1","0","27","0","0.0","1","1","1","0","0","1","0","0","0","0","0","0"
"*05ogb*","Anthony Elanga","NOT","F","70","Kish123","NOT 2<br/>@WHU 3 F","13","13","42%","145.1","55%","+2%","1","1","90","1","1.0","0","1","2","1","0","1","1","0","3","0","0","0"
"*0435s*","Joel Matip","LIV","D","181","Pancake","BRF 0<br/>@LIV 3 F","12.75","12.75","3%","375.81","23%","+8.6%","1","1","90","0","0.0","0","0","1","0","3","1","1","0","6","0","0","1"
