"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*03v9d*","Son Heung-Min","TOT","F","4","deceptiv","NEW 1<br/>@TOT 4 F","40.5","40.5","100%","11.7","100%","0%","1","1","88","1","1.0","2","3","4","2","1","2","0","0","1","1","1","0"
"*04fk1*","Pascal Gross","BHA","M","11","XXX","BUR 1<br/>@BHA 1 F","30","30","100%","36.27","100%","0%","1","1","90","0","0.0","1","1","4","2","0","0","0","0","0","0","0","0"
"*04io4*","Richarlison","TOT","F","114","W (Thu)","NEW 1<br/>@TOT 4 F","27","27","98%","80.14","72%","+2.3%","1","1","72","2","2.0","0","2","6","3","0","2","0","0","0","0","0","0"
"*063e7*","Marcos Senesi","BOU","D","150","W (Thu)","BOU 3<br/>@MUN 0 F","27","27","3%","398.41","4%","+2%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","1"
"*03yeg*","Tosin Adarabioyo","FUL","D","253","W (Thu)","WHU 0<br/>@FUL 5 F","25.25","25.25","2%","388.11","4%","+1.8%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","1"
"*043qy*","Lewis Cook","BOU","M","106","W (Thu)","BOU 3<br/>@MUN 0 F","24.5","24.5","0%","-","14%","-1.9%","1","1","87","0","0.0","1","1","0","0","3","0","0","0","3","0","0","1"
"*03rxs*","Harry Wilson","FUL","M","99","W (Thu)","WHU 0<br/>@FUL 5 F","23","23","90%","100.69","42%","+1.3%","1","0","45","1","1.0","1","2","2","2","1","2","0","0","1","0","0","0"
"*0639x*","Marcus Tavernier","BOU","M","46","4b. DcbB","BOU 3<br/>@MUN 0 F","22.5","22.5","34%","147.52","81%","-0.1%","1","1","87","0","0.0","2","2","2","1","0","1","1","0","3","0","0","1"
"*0626q*","Simon Adingra","BHA","F","38","deceptiv","BUR 1<br/>@BHA 1 F","22","22","9%","315.9","73%","+2.4%","1","1","90","1","1.0","0","1","3","2","0","0","0","0","0","2","0","0"
"*067yz*","Matheus Cunha","WOL","F","19","Maddihat","NOT 1<br/>@WOL 1 F","21","21","34%","147.15","86%","+0.9%","1","1","88","1","1.0","0","1","5","4","1","3","0","0","1","0","0","0"
"*05n07*","Pedro Porro","TOT","D","27","dsb_ff","NEW 1<br/>@TOT 4 F","20.25","20.25","100%","52.16","100%","0%","1","1","90","0","0.0","1","1","3","1","1","1","0","0","1","0","0","0"
"*06c6i*","Anel Ahmedhodzic","SHU","D","338","W (Thu)","BRF 0<br/>@SHU 1 F","19.75","19.75","21%","193.7","9%","0%","1","1","90","0","0.0","0","0","0","0","4","1","0","0","4","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","1","Vroom","LIV 2<br/>@CRY 1 F","19","19","100%","2.86","100%","0%","1","1","90","1","1.0","1","2","3","1","0","1","0","0","0","0","0","0"
"*04fk6*","Bernardo Silva","MCI","M","37","Vroom","MCI 2<br/>@LUT 1 F","19","19","100%","58.45","100%","0%","1","1","90","1","1.0","0","1","3","1","0","3","0","0","0","0","0","0"
"*051k0*","John McGinn","AVL","M","30","Kish123","ARS 0<br/>@AVL 1 F","19","19","64%","130.59","91%","+1.1%","1","1","90","1","1.0","0","1","2","1","3","2","1","0","6","0","0","1"
"*063y7*","Iyenoma Destiny Udogie","TOT","D","132","deceptiv","NEW 1<br/>@TOT 4 F","18.5","18.5","87%","111.34","90%","-1.1%","1","1","90","1","1.0","0","1","1","1","0","1","0","0","0","0","0","0"
"*03jly*","Andreas Pereira","FUL","M","44","Pancake","WHU 0<br/>@FUL 5 F","18","18","98%","75.6","90%","+3.9%","1","1","90","0","0.0","1","1","1","0","0","1","0","0","0","0","0","1"
"*05a6e*","Neco Williams","NOT","D","273","W (Thu)","NOT 1<br/>@WOL 1 F","18","18","18%","229.1","7%","+1.8%","1","1","90","0","0.0","1","1","0","0","1","4","0","0","1","0","0","0"
"*04f67*","Philip Billing","BOU","M","72","W (Thu)","BOU 3<br/>@MUN 0 F","17.5","17.5","75%","128.34","65%","-0.6%","1","0","31","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*04qrc*","Raul Jimenez","FUL","F","112","Kish123","WHU 0<br/>@FUL 5 F","17","17","64%","131.87","51%","+22.2%","1","1","71","1","1.0","0","1","1","1","0","1","0","0","0","0","0","1"
"*03srg*","Trent Alexander-Arnold","LIV","D","16","deceptiv","LIV 2<br/>@CRY 1 F","16","16","100%","7.78","100%","0%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","63","avitek","CHE 0<br/>@EVE 2 F","15.5","15.5","4%","386.04","79%","+0.5%","1","1","90","0","0.0","0","0","1","0","0","1","0","0","0","0","0","1"
"*05uhs*","James Mcatee","SHU","M","148","W (Thu)","BRF 0<br/>@SHU 1 F","15.5","15.5","0%","1148.2","7%","+2.8%","1","1","80","1","1.0","0","1","1","1","1","2","0","0","1","0","0","1"
"*03rvw*","Harry Toffolo","NOT","D","125","4b. DcbB","NOT 1<br/>@WOL 1 F","15.25","15.25","0%","-","41%","-6.8%","1","1","90","1","1.0","0","1","2","1","3","0","0","0","3","0","0","0"
"*02lm7*","Jack Grealish","MCI","M","183","XXX","MCI 2<br/>@LUT 1 F","15","15","100%","15.01","97%","+1.2%","1","1","90","1","1.0","0","1","3","1","0","3","0","0","0","0","0","0"
"*037mo*","Willian","FUL","F","62","deceptiv","WHU 0<br/>@FUL 5 F","15","15","85%","107.67","81%","+1.6%","1","1","45","1","1.0","0","1","2","2","0","1","0","0","0","0","0","0"
"*068a7*","Pablo Sarabia","WOL","M","142","Adam","NOT 1<br/>@WOL 1 F","15","15","8%","332.69","39%","+16%","1","1","68","0","0.0","1","1","0","0","0","1","0","0","0","1","0","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","200","W (Thu)","LIV 2<br/>@CRY 1 F","15","15","1%","1145.96","2%","-0.1%","1","0","45","1","1.0","0","1","2","1","2","3","0","0","2","0","1","0"
"*03rzp*","Antonee Robinson","FUL","D","64","deceptiv","WHU 0<br/>@FUL 5 F","14.75","14.75","83%","116.11","87%","+1.8%","1","1","71","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*05ylx*","Dejan Kulusevski","TOT","M","14","Vroom","NEW 1<br/>@TOT 4 F","14.5","14.5","100%","44.1","100%","0%","1","1","90","0","0.0","0","0","2","2","2","2","0","0","2","0","0","0"
