"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*0524k*","Rodri","MCI","M","55","Vroom","MCI 3<br/>@WHU 1 F","13.5","13.5","99%","54.39","99%","-0.5%","1","1","90","0","0.0","0","0","5","2","2","1","1","0","5","0","0","0"
"*062cl*","Issa Kabore","LUT","D","159","FA","LUT 0<br/>@FUL 1 F","13.5","13.5","5%","354.03","39%","+26.1%","1","1","90","0","0.0","0","0","1","0","3","1","0","0","3","0","0","0"
"*05opk*","Vladimir Coufal","WHU","D","33","deceptiv","MCI 3<br/>@WHU 1 F","13.25","13.25","15%","266.74","74%","+32.6%","1","1","86","0","0.0","1","1","0","0","1","0","0","0","1","1","0","0"
"*062a9*","Sven Botman","NEW","D","73","Maddihat","BRF 0<br/>@NEW 1 F","13","13","99%","82.67","97%","-1%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","1"
"*05uns*","Leon Bailey","AVL","F","120","FA","CRY 1<br/>@AVL 3 F","13","13","43%","143.88","56%","-6.8%","1","0","32","1","1.0","0","1","2","1","1","0","1","0","4","0","0","0"
"*061ve*","Ryan Christie","BOU","M","81","Vroom","CHE 0<br/>@BOU 0 F","13","13","8%","336.41","34%","+1.2%","1","1","88","0","0.0","0","0","1","0","0","1","0","0","0","0","0","1"
"*05oeh*","Kenny Tete","FUL","D","215","FA","LUT 0<br/>@FUL 1 F","12.75","12.75","97%","91.84","68%","-8.3%","1","1","90","0","0.0","0","0","1","0","0","2","0","0","0","0","0","1"
"*05ocl*","Ollie Watkins","AVL","F","3","4b. DcbB","CRY 1<br/>@AVL 3 F","12.5","12.5","100%","19.8","100%","+0.2%","1","1","88","0","0.0","0","0","4","1","1","1","0","0","1","0","0","0"
"*05tr9*","Mathias Jensen","BRF","M","21","Pancake","BRF 0<br/>@NEW 1 F","12.5","12.5","83%","116.69","97%","+0.7%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*06329*","Manor Solomon","TOT","F","86","W (Fri)","SHU 1<br/>@TOT 2 F","12.5","12.5","17%","237.92","62%","-3%","1","1","79","0","0.0","0","0","4","1","2","1","1","0","5","0","0","0"
"*068se*","Jhon Duran","AVL","F","195","FA","CRY 1<br/>@AVL 3 F","12.5","12.5","1%","1066.51","5%","-1.5%","1","0","18","1","1.0","0","1","2","2","3","0","1","0","6","0","0","0"
