"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*061x2*","Darwin Nunez","LIV","F","17","Pancake","LIV 4<br/>@BOU 0 F","33","33","100%","22.9","100%","+0.1%","1","1","90","2","2.0","0","2","3","3","2","0","1","0","5","0","0","1"
"*04qr8*","Diogo Jota","LIV","F","53","Adam","LIV 4<br/>@BOU 0 F","33","33","100%","52.5","98%","+2%","1","1","88","2","2.0","1","3","2","2","3","2","0","0","3","0","0","1"
"*05nzu*","Gabriel Magalhaes","ARS","D","81","W (Thu)","CRY 0<br/>@ARS 5 F","31.75","31.75","99%","79.46","96%","+1.7%","1","1","80","1","1.0","0","1","3","1","1","3","0","0","1","0","0","1"
"*03dxq*","Danny Ings","WHU","F","329","W (Thu)","WHU 2<br/>@SHU 2 F","30.5","30.5","25%","155.7","10%","+3.7%","1","1","88","0","0.0","0","0","6","2","0","2","0","0","0","0","0","0"
"*05n07*","Pedro Porro","TOT","D","15","dsb_ff","TOT 2<br/>@MUN 2 F","25.75","25.75","100%","52.15","100%","0%","1","1","90","0","0.0","1","1","1","1","1","1","0","0","1","0","0","0"
"*052h5*","Gabriel Martinelli","ARS","M","33","4b. DcbB","CRY 0<br/>@ARS 5 F","25","25","100%","12.83","100%","-0.1%","1","0","20","2","2.0","0","2","2","2","0","0","0","0","0","0","0","0"
"*02oq8*","James Ward-Prowse","WHU","M","9","Pancake","WHU 2<br/>@SHU 2 F","25","25","2%","291.99","85%","+0.2%","1","1","90","1","1.0","0","1","1","1","2","1","1","0","5","0","1","0"
"*02oox*","Kevin De Bruyne","MCI","M","339","Kish123","MCI 3<br/>@NEW 2 F","24.5","24.5","100%","5.16","99%","+0.2%","1","0","20","1","1.0","1","2","2","1","2","0","0","0","2","0","0","0"
"*05u7f*","Ibrahima Konate","LIV","D","130","Pancake","LIV 4<br/>@BOU 0 F","22.25","22.25","94%","105.15","88%","+2.9%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"*05uhj*","Conor Bradley","LIV","D","369","Pancake","LIV 4<br/>@BOU 0 F","22","22","2%","363.47","24%","+23.8%","1","1","82","0","0.0","1","1","3","1","2","1","1","0","5","0","0","1"
"*03dx7*","Ben Mee","BRF","D","210","W (Thu)","NOT 2<br/>@BRF 3 F","21.25","21.25","99%","81.59","54%","+7.9%","1","1","90","1","1.0","0","1","2","1","2","1","0","0","2","0","0","0"
"*06cm4*","Chiedozie Ogbene","LUT","F","123","W (Thu)","LUT 1<br/>@BUR 1 F","20","20","1%","1109.12","9%","+2.2%","1","1","90","0","0.0","0","0","4","3","0","0","0","0","0","0","0","0"
"*045c8*","Gabriel Jesus","ARS","F","83","XXX","CRY 0<br/>@ARS 5 F","19.5","19.5","100%","20.77","99%","-0.4%","1","1","80","0","0.0","1","1","3","0","1","2","0","0","1","3","0","1"
"*06exb*","Rasmus Hojlund","MUN","F","204","Maddihat","TOT 2<br/>@MUN 2 F","19.5","19.5","74%","60.83","73%","-0.9%","1","1","90","1","1.0","1","2","1","1","0","0","1","0","3","2","0","0"
"*03r93*","Joseph Gomez","LIV","D","122","Vroom","LIV 4<br/>@BOU 0 F","19","19","1%","1125.87","66%","+1.9%","1","1","90","0","0.0","1","1","1","0","2","1","0","0","2","0","0","1"
"*02m5b*","Chris Wood","NOT","F","60","deceptiv","NOT 2<br/>@BRF 3 F","19","19","1%","1127.93","60%","+2.5%","1","1","90","1","1.0","0","1","2","1","0","0","0","0","0","0","0","0"
"*0427d*","James Tarkowski","EVE","D","20","XXX","AVL 0<br/>@EVE 0 F","18.5","18.5","94%","94.52","98%","-0.2%","1","1","90","0","0.0","0","0","1","0","1","2","1","0","4","1","0","1"
"*043c1*","Oleksandr Zinchenko","ARS","D","70","XXX","CRY 0<br/>@ARS 5 F","18.5","18.5","99%","76.55","97%","+1.3%","1","1","90","0","0.0","0","0","2","1","0","0","0","0","0","0","0","1"
"*062p5*","Levi Colwill","CHE","D","94","4b. DcbB","FUL 0<br/>@CHE 1 F","18.5","18.5","82%","119.32","90%","+0.1%","1","1","90","0","0.0","0","0","1","0","3","0","0","0","3","0","0","1"
"*05nt6*","Eberechi Eze","CRY","M","35","Adam","CRY 0<br/>@ARS 5 F","18","18","100%","27.71","100%","+0.2%","1","1","90","0","0.0","0","0","4","2","0","4","0","0","0","1","0","0"
"*0524k*","Rodri","MCI","M","43","Vroom","MCI 3<br/>@NEW 2 F","18","18","99%","54.4","99%","+0.2%","1","1","90","0","0.0","1","1","1","1","2","3","1","0","5","0","0","0"
"*03v6w*","Ivan Toney","BRF","F","384","XXX","NOT 2<br/>@BRF 3 F","18","18","62%","132.18","93%","+8.1%","1","1","90","1","1.0","0","1","1","1","1","4","1","0","4","0","0","0"
"*05oh0*","Jan-Paul van Hecke","BHA","D","190","W (Thu)","WOL 0<br/>@BHA 0 F","17.5","17.5","1%","1144.5","18%","+5.4%","1","1","90","0","0.0","0","0","2","1","0","0","0","0","0","0","0","1"
"*063zg*","Pervis Estupinan","BHA","D","142","Maddihat","WOL 0<br/>@BHA 0 F","17","17","100%","43","99%","+3.2%","1","1","71","0","0.0","0","0","0","0","1","2","0","0","1","0","0","1"
"*04io4*","Richarlison","TOT","F","69","Vroom","TOT 2<br/>@MUN 2 F","17","17","98%","80.17","98%","+1.1%","1","1","90","1","1.0","0","1","2","2","0","2","0","0","0","0","0","0"
"*02lsa*","Dan Burn","NEW","D","102","dsb_ff","MCI 3<br/>@NEW 2 F","16.5","16.5","96%","103.54","89%","-1%","1","1","90","0","0.0","1","1","0","0","3","0","0","0","3","0","0","0"
"*06igk*","Ben Brereton","SHU","F","391","W (Thu)","WHU 2<br/>@SHU 2 F","16.5","16.5","0%","-","7%","+6.6%","1","1","66","1","1.0","0","1","4","2","1","1","0","0","1","1","0","0"
"*0522h*","Alexis Mac Allister","LIV","M","188","W (Thu)","LIV 4<br/>@BOU 0 F","16","16","100%","40.22","78%","+4.8%","1","1","90","0","0.0","0","0","1","0","0","3","0","0","0","0","0","1"
"*0477b*","Oliver McBurnie","SHU","F","156","W (Thu)","WHU 2<br/>@SHU 2 F","16","16","19%","213.12","19%","-1.1%","1","0","45","1","1.0","0","1","2","1","0","2","0","0","0","0","1","0"
"*0687b*","Alex Moreno","AVL","D","301","Vroom","AVL 0<br/>@EVE 0 F","15.5","15.5","98%","88.09","77%","-1.4%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","1"
"*06dn2*","Zeki Amdouni","BUR","F","79","W (Thu)","LUT 1<br/>@BUR 1 F","15.5","15.5","8%","324.96","34%","+13.7%","1","1","82","1","1.0","0","1","1","1","1","2","0","0","1","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","23","Adam","LIV 4<br/>@BOU 0 F","15","15","100%","43.75","100%","0%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*0646f*","Alexander Isak","NEW","F","40","avitek","MCI 3<br/>@NEW 2 F","15","15","100%","19.89","100%","+0.1%","1","1","90","1","1.0","0","1","5","3","1","0","0","0","1","2","0","0"
"*04mdn*","Anthony Gordon","NEW","M","14","4b. DcbB","MCI 3<br/>@NEW 2 F","14.5","14.5","71%","128.42","97%","+0.1%","1","1","85","1","1.0","0","1","3","1","0","1","0","0","0","1","0","0"
"*05l8q*","Cole Palmer","CHE","M","18","Kish123","FUL 0<br/>@CHE 1 F","14.5","14.5","16%","247.87","86%","+0.5%","1","1","88","1","1.0","0","1","3","2","0","0","1","0","3","0","1","1"
"*04mi4*","Callum Hudson-Odoi","NOT","F","215","W (Thu)","NOT 2<br/>@BRF 3 F","14.5","14.5","4%","375.56","9%","+0.5%","1","1","90","0","0.0","1","1","1","0","0","1","0","0","0","2","0","0"
"*06c5z*","Gabriel Osho","LUT","D","247","W (Thu)","LUT 1<br/>@BUR 1 F","14.5","14.5","0%","1146.2","2%","-0.2%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
