"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*06c6a*","Alfie Doughty","LUT","M","44","Vroom","@NOT Sat 7:00AM","18","18","48%","142.27","63%","+21.8%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*06c4o*","Lyle Foster","BUR","F","81","avitek","@BRF Sat 7:00AM","13","13","1%","1120.94","39%","+17.8%","1","1","79","1","1.0","0","1","2","1","1","0","0","0","1","0","0","0"
"*05gcs*","Sander Berge","BUR","M","181","W (Thu)","@BRF Sat 7:00AM","13","13","19%","216.67","6%","+0.6%","1","1","90","0","0.0","1","1","0","0","0","0","0","0","0","1","0","0"
"*06c6c*","Elijah Adebayo","LUT","F","194","W (Thu)","@NOT Sat 7:00AM","12.5","12.5","18%","227.45","7%","-0.1%","1","0","27","1","1.0","0","1","2","1","0","0","0","0","0","1","0","0"
"*03amm*","Reece Burke","LUT","D","164","W (Thu)","@NOT Sat 7:00AM","12.25","12.25","0%","1174.69","1%","-2.2%","1","0","68","0","0.0","1","1","1","1","1","0","1","0","4","0","0","0"
"*0414p*","Carlton Morris","LUT","F","31","dsb_ff","@NOT Sat 7:00AM","11.5","11.5","85%","112.3","93%","-2%","1","1","90","0","0.0","0","0","4","0","2","0","0","0","2","0","0","0"
"*04azm*","Connor Roberts","BUR","D","719","W (Thu)","@BRF Sat 7:00AM","11.5","11.5","24%","159.68","7%","-1.3%","1","1","90","0","0.0","1","1","0","0","0","1","1","0","3","0","0","0"
"*06clx*","Jordan Beyer","BUR","D","273","W (Thu)","@BRF Sat 7:00AM","11","11","19%","208.87","9%","-2.3%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06dwm*","Jacob Bruun Larsen","BUR","F","236","W (Thu)","@BRF Sat 7:00AM","11","11","0%","1139.13","0%","0%","1","0","15","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*06f80*","Jacob Brown","LUT","F","186","W (Thu)","@NOT Sat 7:00AM","9.5","9.5","0%","1115.6","4%","-7.6%","1","1","68","0","0.0","0","0","3","1","1","1","1","0","4","0","0","0"
"*05gcx*","Josh Brownhill","BUR","M","121","Adam","@BRF Sat 7:00AM","9","9","85%","111.14","46%","-10.7%","1","1","90","0","0.0","0","0","3","0","2","0","0","0","2","0","0","0"
"*06dn2*","Zeki Amdouni","BUR","F","126","W (Thu)","@BRF Sat 7:00AM","8.5","8.5","8%","325.03","15%","-19.3%","1","1","73","0","0.0","0","0","2","1","0","4","0","0","0","1","0","0"
"*062cl*","Issa Kabore","LUT","D","179","W (Thu)","@NOT Sat 7:00AM","8.25","8.25","5%","354.04","12%","-27%","1","1","61","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*03hff*","Josh Cullen","BUR","M","165","W (Thu)","@BRF Sat 7:00AM","8","8","4%","366.67","8%","-5.8%","1","1","90","0","0.0","0","0","1","0","1","5","0","0","1","0","0","0"
"*06c5x*","Tom Lockyer","LUT","D","183","W (Thu)","@NOT Sat 7:00AM","6.25","6.25","38%","147.4","16%","-2.7%","1","1","90","0","0.0","0","0","2","0","1","1","0","0","1","0","0","0"
"*04fyc*","Charlie Taylor","BUR","D","338","W (Thu)","@BRF Sat 7:00AM","6.25","6.25","1%","1117.25","1%","-2.5%","1","1","90","0","0.0","0","0","0","0","1","1","1","0","4","0","0","0"
"*06dqv*","Luca Koleosho","BUR","F","113","W (Thu)","@BRF Sat 7:00AM","5","5","0%","1155.7","10%","-15.4%","1","1","73","0","0.0","0","0","3","1","1","1","0","0","1","1","0","0"
"*06cm4*","Chiedozie Ogbene","LUT","F","206","W (Thu)","@NOT Sat 7:00AM","4.5","4.5","1%","1108.51","2%","-4.6%","1","1","90","0","0.0","0","0","2","0","2","2","0","0","2","2","0","0"
"*05afe*","Teden Mengi","LUT","D","317","W (Thu)","@NOT Sat 7:00AM","4.5","4.5","0%","1125.7","0%","0%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*037mv*","Pelly Ruddock","LUT","M","255","W (Thu)","@NOT Sat 7:00AM","1.5","1.5","0%","1144.3","1%","-0.1%","1","1","90","0","0.0","0","0","2","0","1","1","0","0","1","0","0","0"
