"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*067yz*","Matheus Cunha","WOL","F","9","Maddihat","WOL 4<br/>@CHE 2 F","41","41","34%","147.17","88%","0%","1","1","90","3","3.0","0","3","5","4","0","6","0","0","0","0","1","0"
"*04abb*","Phil Foden","MCI","M","4","XXX","MCI 3<br/>@BRF 1 F","40.5","40.5","100%","16.45","100%","0%","1","1","90","3","3.0","0","3","6","4","0","0","0","0","0","0","0","0"
"*05ocl*","Ollie Watkins","AVL","F","3","4b. DcbB","AVL 5<br/>@SHU 0 F","36.5","36.5","100%","19.79","100%","0%","1","1","90","1","1.0","2","3","3","2","2","1","0","0","2","0","0","1"
"*060wh*","Alejandro Garnacho","MUN","M","59","Kish123","WHU 0<br/>@MUN 3 F","33","33","85%","112.19","91%","-0.1%","1","1","90","2","2.0","0","2","2","2","0","2","0","0","0","0","0","1"
"*02lpf*","Ross Barkley","LUT","M","46","deceptiv","LUT 4<br/>@NEW 4 F","33","33","9%","312.02","70%","+2.6%","1","1","90","1","1.0","1","2","2","1","0","0","0","0","0","0","0","0"
"*04io4*","Richarlison","TOT","F","42","Vroom","TOT 2<br/>@EVE 2 F","29","29","98%","80.18","99%","+0.3%","1","1","90","2","2.0","0","2","4","3","1","0","0","0","1","0","0","0"
"*0687b*","Alex Moreno","AVL","D","258","Vroom","AVL 5<br/>@SHU 0 F","26.75","26.75","98%","88.09","76%","-1.9%","1","1","90","1","1.0","0","1","1","1","1","2","0","0","1","0","0","1"
"*0414p*","Carlton Morris","LUT","F","58","W (Thu)","LUT 4<br/>@NEW 4 F","25","25","85%","112.36","63%","+3.5%","1","1","78","1","1.0","1","2","2","2","1","0","0","0","1","0","1","0"
"*04ug0*","Sean Longstaff","NEW","M","141","W (Thu)","LUT 4<br/>@NEW 4 F","23.5","23.5","1%","1130.83","26%","+1.3%","1","1","90","2","2.0","0","2","4","2","2","2","0","0","2","0","0","0"
"*067z4*","David Datro Fofana","BUR","F","345","W (Thu)","FUL 2<br/>@BUR 2 F","23","23","0%","1052.6","5%","+1.6%","1","0","26","2","2.0","0","2","2","2","0","0","1","0","3","0","0","0"
"*04fk1*","Pascal Gross","BHA","M","6","XXX","CRY 1<br/>@BHA 4 F","22.5","22.5","100%","36.27","100%","0%","1","1","90","0","0.0","2","2","3","0","0","2","0","0","0","0","0","0"
"*02oox*","Kevin De Bruyne","MCI","M","255","Kish123","MCI 3<br/>@BRF 1 F","21","21","100%","5.16","100%","0%","1","1","90","0","0.0","1","1","3","2","1","0","0","0","1","0","0","0"
"*03dx3*","Kieran Trippier","NEW","D","8","XXX","LUT 4<br/>@NEW 4 F","20.25","20.25","100%","11.56","100%","0%","1","1","90","1","1.0","1","2","1","1","2","1","0","0","2","0","0","0"
"*03jly*","Andreas Pereira","FUL","M","48","Pancake","FUL 2<br/>@BUR 2 F","19.5","19.5","98%","75.6","91%","+0.3%","1","1","84","0","0.0","1","1","1","1","0","1","1","0","3","0","0","0"
"*05g2o*","Joao Pedro","BHA","F","33","Maddihat","CRY 1<br/>@BHA 4 F","19","19","99%","71.71","98%","-1.7%","1","1","87","1","1.0","0","1","3","1","1","2","0","0","1","0","0","0"
"*05uns*","Leon Bailey","AVL","F","32","avitek","AVL 5<br/>@SHU 0 F","19","19","43%","143.93","90%","+1.1%","1","1","59","1","1.0","0","1","2","1","0","2","0","0","0","0","0","0"
"*04yo7*","Youri Tielemans","AVL","M","240","W (Thu)","AVL 5<br/>@SHU 0 F","19","19","98%","86.03","39%","+0.6%","1","1","80","1","1.0","0","1","2","2","1","0","0","0","1","0","0","1"
"*062h9*","Luis Sinisterra","BOU","F","157","XXX","NOT 1<br/>@BOU 1 F","19","19","0%","-","12%","+1%","1","1","70","0","0.0","1","1","3","1","3","2","0","0","3","0","0","0"
"*061vn*","Rodrigo Muniz","FUL","F","302","W (Thu)","FUL 2<br/>@BUR 2 F","19","19","0%","-","2%","+1.9%","1","1","73","1","1.0","0","1","3","2","2","1","0","0","2","0","0","0"
"*067yu*","Facundo Buonanotte","BHA","M","230","W (Thu)","CRY 1<br/>@BHA 4 F","18.5","18.5","14%","275.6","19%","-3.9%","1","1","79","1","1.0","0","1","2","2","1","1","0","0","1","0","0","0"
"*04e1c*","Lewis Dunk","BHA","D","239","W (Thu)","CRY 1<br/>@BHA 4 F","18.25","18.25","72%","125.41","38%","-1.7%","1","1","90","1","1.0","0","1","1","1","0","1","0","0","0","0","0","0"
"*04spp*","Douglas Luiz","AVL","M","20","Maddihat","AVL 5<br/>@SHU 0 F","18","18","97%","92.3","100%","0%","1","1","45","0","0.0","1","1","1","1","0","0","0","0","0","0","0","0"
"*062dt*","Joao Palhinha","FUL","M","88","W (Thu)","FUL 2<br/>@BUR 2 F","17.5","17.5","29%","144.85","67%","+1%","1","1","90","1","1.0","0","1","1","1","0","3","0","0","0","0","0","0"
"*05gcr*","Bruno Fernandes","MUN","M","11","4b. DcbB","WHU 0<br/>@MUN 3 F","17","17","100%","3.53","100%","0%","1","1","90","0","0.0","1","1","2","1","1","0","0","0","1","0","0","1"
"*052h5*","Gabriel Martinelli","ARS","M","29","4b. DcbB","LIV 1<br/>@ARS 3 F","17","17","100%","12.82","100%","0%","1","1","73","1","1.0","0","1","2","1","0","1","0","0","0","2","0","0"
"*05ylj*","Bruno Guimaraes","NEW","M","50","avitek","LUT 4<br/>@NEW 4 F","16.5","16.5","100%","39.3","98%","+0.3%","1","1","90","0","0.0","1","1","1","0","0","4","0","0","0","0","0","0"
"*05l8q*","Cole Palmer","CHE","M","17","Kish123","WOL 4<br/>@CHE 2 F","16","16","16%","247.79","86%","+0.1%","1","1","90","1","1.0","0","1","4","1","0","2","0","0","0","1","0","0"
"*06cm4*","Chiedozie Ogbene","LUT","F","90","Vroom","LUT 4<br/>@NEW 4 F","15.5","15.5","1%","1109.56","30%","+10.2%","1","1","90","0","0.0","0","0","1","1","1","5","0","0","1","0","0","0"
"*06ex4*","Josko Gvardiol","MCI","D","156","Adam","MCI 3<br/>@BRF 1 F","14.75","14.75","79%","73.73","78%","-2.3%","1","1","90","0","0.0","0","0","3","1","1","0","0","0","1","0","0","0"
"*0414o*","James Maddison","TOT","M","27","Maddihat","TOT 2<br/>@EVE 2 F","14.5","14.5","100%","15.78","100%","0%","1","1","85","0","0.0","1","1","2","2","1","2","0","0","1","0","0","0"
"*06ab3*","Lewis Miley","NEW","M","219","W (Thu)","LUT 4<br/>@NEW 4 F","14.5","14.5","0%","1154.7","18%","+1%","1","1","90","0","0.0","1","1","0","0","1","2","0","0","1","0","0","0"
"*04mi4*","Callum Hudson-Odoi","NOT","F","201","W (Thu)","NOT 1<br/>@BOU 1 F","14.5","14.5","4%","375.6","11%","+3.1%","1","1","88","1","1.0","0","1","1","1","0","3","0","0","0","0","0","0"
"*06exb*","Rasmus Hojlund","MUN","F","150","Maddihat","WHU 0<br/>@MUN 3 F","14","14","74%","60.83","81%","+1.9%","1","1","87","1","1.0","0","1","2","1","0","2","0","0","0","1","0","1"
"*04abn*","Harvey Barnes","NEW","M","312","deceptiv","LUT 4<br/>@NEW 4 F","14","14","98%","58.63","48%","+8.2%","1","0","26","1","1.0","0","1","3","2","0","0","0","0","0","0","0","0"
"*068yd*","Joao Gomes","WOL","M","175","W (Thu)","WOL 4<br/>@CHE 2 F","14","14","2%","1118.86","7%","+0.2%","1","1","88","0","0.0","1","1","0","0","3","0","0","0","3","0","0","0"
"*056iy*","Pedro Neto","WOL","F","38","Kish123","WOL 4<br/>@CHE 2 F","13.5","13.5","55%","135.98","96%","0%","1","1","71","0","0.0","1","1","4","2","2","0","1","0","5","0","0","0"
"*063y7*","Iyenoma Destiny Udogie","TOT","D","104","deceptiv","TOT 2<br/>@EVE 2 F","13.5","13.5","87%","111.32","96%","+0.7%","1","1","90","0","0.0","1","1","0","0","3","0","0","0","3","0","0","0"
"*06fv8*","Mohammed Kudus","WHU","M","39","XXX","WHU 0<br/>@MUN 3 F","13.5","13.5","0%","-","83%","+0.2%","1","1","90","0","0.0","0","0","4","1","0","4","0","0","0","0","0","0"
"*05o6h*","Kai Havertz","ARS","F","122","deceptiv","LIV 1<br/>@ARS 3 F","13.5","13.5","100%","44.92","81%","-1.3%","1","1","90","0","0.0","0","0","3","2","3","3","1","0","6","0","0","0"
"*04spq*","Jack Harrison","EVE","M","106","4b. DcbB","TOT 2<br/>@EVE 2 F","13.5","13.5","0%","1101.62","60%","-2.5%","1","1","90","1","1.0","0","1","2","1","0","2","0","0","0","0","0","0"
"*067ys*","Jack Hinshelwood","BHA","M","202","W (Thu)","CRY 1<br/>@BHA 4 F","13.5","13.5","0%","-","16%","+0.4%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*05l27*","Jarrad Branthwaite","EVE","D","98","Maddihat","TOT 2<br/>@EVE 2 F","13.25","13.25","1%","1124.08","53%","+1%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","1","0","0"
"*0524k*","Rodri","MCI","M","34","Vroom","MCI 3<br/>@BRF 1 F","13","13","99%","54.4","100%","0%","1","1","90","0","0.0","0","0","2","1","1","1","0","0","1","0","0","0"
"*0520r*","Leandro Trossard","ARS","M","140","Kish123","LIV 1<br/>@ARS 3 F","13","13","100%","57.05","77%","-2.8%","1","0","15","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*05gcx*","Josh Brownhill","BUR","M","72","W (Thu)","FUL 2<br/>@BUR 2 F","13","13","85%","111.14","69%","+1.3%","1","1","90","0","0.0","0","0","2","0","2","0","0","0","2","0","0","0"
"*06c6c*","Elijah Adebayo","LUT","F","87","avitek","LUT 4<br/>@NEW 4 F","13","13","18%","227.9","48%","+18.6%","1","1","87","1","1.0","0","1","2","1","2","1","0","0","2","0","0","0"
"*062pl*","Lisandro Martinez","MUN","D","409","W (Thu)","WHU 0<br/>@MUN 3 F","13","13","96%","92.84","41%","-0.6%","1","1","70","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
